ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6580	33	2004CG_0033-ForksofCreditMap.jpg	2004CG_0033-ForksofCreditMap.jpg	2004CG_0033-ForksofCreditMap.jpg	2004		Ulli Diemer	Forks of Credit		Canon G5	
6581	34	2004CG_0034-MiriamLakeErie.jpg	2004CG_0034-MiriamLakeErie.jpg	2004CG_0034-MiriamLakeErie.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6582	35	2004CG_0035-BeachLakeErie.jpg	2004CG_0035-BeachLakeErie.jpg	2004CG_0035-BeachLakeErie.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6583	36	2004CG_0036-BeachLakeErie.jpg	2004CG_0036-BeachLakeErie.jpg	2004CG_0036-BeachLakeErie.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6584	37	2004CG_0037-LakeErie.jpg	2004CG_0037-LakeErie.jpg	2004CG_0037-LakeErie.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6585	38	2004CG_0038-MiriamLakeErie.jpg	2004CG_0038-MiriamLakeErie.jpg	2004CG_0038-MiriamLakeErie.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6586	39	2004CG_0039-NanasPortColborne.jpg	2004CG_0039-NanasPortColborne.jpg	2004CG_0039-NanasPortColborne.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6587	40	2004CG_0040-PortColborne.jpg	2004CG_0040-PortColborne.jpg	2004CG_0040-PortColborne.jpg	2004		Ulli Diemer	Lake Erie		Canon G5	
6588	41	2004CG_0041-LongPoint.jpg	2004CG_0041-LongPoint.jpg	2004CG_0041-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6589	42	2004CG_0042-LongPoint.jpg	2004CG_0042-LongPoint.jpg	2004CG_0042-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6590	43	2004CG_0043-LongPoint.jpg	2004CG_0043-LongPoint.jpg	2004CG_0043-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6591	44	2004CG_0044-LongPoint.jpg	2004CG_0044-LongPoint.jpg	2004CG_0044-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6592	45	2004CG_0045-LongPoint.jpg	2004CG_0045-LongPoint.jpg	2004CG_0045-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6593	46	2004CG_0046-Miriam-LongPoint.jpg	2004CG_0046-Miriam-LongPoint.jpg	2004CG_0046-Miriam-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6594	47	2004CG_0047-LongPoint.jpg	2004CG_0047-LongPoint.jpg	2004CG_0047-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6595	48	2004CG_0048-LongPoint.jpg	2004CG_0048-LongPoint.jpg	2004CG_0048-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6596	49	2004CG_0049-LongPoint.jpg	2004CG_0049-LongPoint.jpg	2004CG_0049-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6597	50	2004CG_0050-LongPoint.jpg	2004CG_0050-LongPoint.jpg	2004CG_0050-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
